"seller","day_of_week","income"
Anne Ringer,Monday,53386960
Johnson White,Monday,98560781
Sheryl Hunter,Monday,153301531
Charlene Locksley,Monday,108450662
Abraham Bennet,Monday,231845241
Innes del Castillo,Monday,260992756
Stearns MacFeather,Monday,30778276
Burt Gringlesby,Monday,118429815
Michel DeFrance,Monday,479584920
Michael O'Leary,Monday,138096277
Morningstar Greene,Monday,67381290
Meander Smith,Monday,52160238
Marjorie Green,Monday,97539868
Heather McBadden,Monday,293014643
Sylvia Panteley,Monday,96399427
Ann Dull,Monday,39656842
Livia Karsen,Monday,132386625
Dirk Stringer,Monday,759341454
Reginald Blotchet-Halls,Monday,103178571
Albert Ringer,Monday,392378037
Dean Straight,Monday,192550177
Cheryl Carson,Monday,77977656
Reginald Blotchet-Halls,Tuesday,89298153
Sylvia Panteley,Tuesday,99289901
Marjorie Green,Tuesday,102488970
Michael O'Leary,Tuesday,125258270
Meander Smith,Tuesday,63913954
Ann Dull,Tuesday,38097807
Anne Ringer,Tuesday,55417862
Stearns MacFeather,Tuesday,31056505
Burt Gringlesby,Tuesday,114454017
Charlene Locksley,Tuesday,102419645
Sheryl Hunter,Tuesday,163754750
Cheryl Carson,Tuesday,76905547
Dean Straight,Tuesday,183459091
Dirk Stringer,Tuesday,734550037
Albert Ringer,Tuesday,419021705
Heather McBadden,Tuesday,267891418
Morningstar Greene,Tuesday,67737440
Innes del Castillo,Tuesday,285473369
Johnson White,Tuesday,100275590
Abraham Bennet,Tuesday,259058032
Michel DeFrance,Tuesday,467420386
Livia Karsen,Tuesday,145696077
Stearns MacFeather,Wednesday,24953854
Cheryl Carson,Wednesday,66729906
Sylvia Panteley,Wednesday,85876350
Reginald Blotchet-Halls,Wednesday,80548671
Marjorie Green,Wednesday,94949352
Dean Straight,Wednesday,168092851
Abraham Bennet,Wednesday,214842815
Ann Dull,Wednesday,35589006
Michael O'Leary,Wednesday,134525040
Dirk Stringer,Wednesday,642376642
Johnson White,Wednesday,89036568
Morningstar Greene,Wednesday,64838804
Meander Smith,Wednesday,49655899
Heather McBadden,Wednesday,249479672
Albert Ringer,Wednesday,403718425
Livia Karsen,Wednesday,156662691
Innes del Castillo,Wednesday,245730067
Burt Gringlesby,Wednesday,119047498
Sheryl Hunter,Wednesday,140290965
Charlene Locksley,Wednesday,106731411
Anne Ringer,Wednesday,46106241
Michel DeFrance,Wednesday,439203900
Sylvia Panteley,Thursday,91590683
Heather McBadden,Thursday,289587875
Cheryl Carson,Thursday,70730736
Anne Ringer,Thursday,55678731
Reginald Blotchet-Halls,Thursday,89971577
Michael O'Leary,Thursday,130193802
Stearns MacFeather,Thursday,22585496
Meander Smith,Thursday,56688841
Marjorie Green,Thursday,90204716
Dean Straight,Thursday,182913507
Albert Ringer,Thursday,405676715
Livia Karsen,Thursday,168820566
Ann Dull,Thursday,36627441
Michel DeFrance,Thursday,481154816
Innes del Castillo,Thursday,247744631
Charlene Locksley,Thursday,102081557
Dirk Stringer,Thursday,693463720
Burt Gringlesby,Thursday,103250742
Morningstar Greene,Thursday,61407061
Abraham Bennet,Thursday,226133920
Sheryl Hunter,Thursday,148434253
Johnson White,Thursday,91715664
Marjorie Green,Friday,99954936
Abraham Bennet,Friday,233935361
Albert Ringer,Friday,357492148
Ann Dull,Friday,37433122
Anne Ringer,Friday,51753352
Burt Gringlesby,Friday,109360163
Charlene Locksley,Friday,97761374
Cheryl Carson,Friday,80473505
Dean Straight,Friday,176048824
Dirk Stringer,Friday,672023523
Heather McBadden,Friday,245868793
Innes del Castillo,Friday,231816497
Johnson White,Friday,91757929
Livia Karsen,Friday,172939429
Meander Smith,Friday,53551957
Michael O'Leary,Friday,142326764
Michel DeFrance,Friday,473980678
Morningstar Greene,Friday,62929144
Reginald Blotchet-Halls,Friday,96796981
Sheryl Hunter,Friday,158669557
Stearns MacFeather,Friday,28022436
Sylvia Panteley,Friday,91390800
Livia Karsen,Saturday,142421334
Michael O'Leary,Saturday,131118669
Johnson White,Saturday,91955960
Innes del Castillo,Saturday,245765313
Michel DeFrance,Saturday,480574641
Heather McBadden,Saturday,260891531
Dirk Stringer,Saturday,724561952
Albert Ringer,Saturday,359055422
Morningstar Greene,Saturday,64598714
Dean Straight,Saturday,176094743
Cheryl Carson,Saturday,69224918
Reginald Blotchet-Halls,Saturday,92451664
Charlene Locksley,Saturday,100507641
Burt Gringlesby,Saturday,108212068
Abraham Bennet,Saturday,219357051
Sheryl Hunter,Saturday,143802265
Anne Ringer,Saturday,48579237
Ann Dull,Saturday,37658782
Sylvia Panteley,Saturday,87097890
Stearns MacFeather,Saturday,27623848
Meander Smith,Saturday,53094397
Marjorie Green,Saturday,95303142
Anne Ringer,Sunday,49050828
Sheryl Hunter,Sunday,148514539
Michel DeFrance,Sunday,438321488
Livia Karsen,Sunday,137975384
Cheryl Carson,Sunday,69553595
Johnson White,Sunday,88933984
Michael O'Leary,Sunday,125981634
Ann Dull,Sunday,34138287
Charlene Locksley,Sunday,93745116
Morningstar Greene,Sunday,68473053
Innes del Castillo,Sunday,244679491
Sylvia Panteley,Sunday,95337213
Heather McBadden,Sunday,266458384
Meander Smith,Sunday,56678279
Abraham Bennet,Sunday,232328748
Stearns MacFeather,Sunday,27431434
Reginald Blotchet-Halls,Sunday,80496472
Dirk Stringer,Sunday,698820601
Burt Gringlesby,Sunday,112782280
Dean Straight,Sunday,176873005
Marjorie Green,Sunday,104815534
Albert Ringer,Sunday,362985486
